entry_time,exit_time,direction,entry_price,exit_price,quantity,lots,initial_stop,final_stop,gross_pnl,costs,net_pnl,return_pct,r_multiple,exit_reason,bars_held,mae,mfe,side,cum_pnl,equity_after
2020-03-09 00:00:00+05:30,2020-04-24 00:00:00+05:30,-1,10739.901394726563,9165.733170703124,75,1.0,11043.492740428273,10739.901394726563,118062.61680175789,254.28529113739478,117808.3315106205,0.1399650742523256,5.1739872552832455,supertrend_flip,29,-11.648409960936988,3228.801297070313,SHORT,-40493.608170141946,959506.3918298581
2020-07-06 00:00:00+05:30,2020-09-09 00:00:00+05:30,1,10725.994379296875,11216.355889453125,75,1.0,10431.811131745288,10725.994379296875,36777.113261718754,267.07106328849625,36510.04219843026,0.038050858763746837,1.654752834151007,supertrend_flip,47,-163.0939886718752,1068.2556207031248,LONG,-3983.565971711687,996016.4340282883
2020-11-10 00:00:00+05:30,2020-12-22 00:00:00+05:30,1,12558.911670703124,13370.975660546876,75,1.0,12292.48998905044,12558.911670703124,60904.79923828134,308.5977514415838,60596.20148683975,0.06083855588784265,3.0325961015858014,supertrend_flip,28,-83.6616707031244,1218.5883292968756,LONG,56612.635515128066,1056612.635515128
2020-12-29 00:00:00+05:30,2021-01-28 00:00:00+05:30,1,13913.131679296876,13807.638310546876,75,1.0,13633.061796558468,13913.131679296876,-7912.002656249979,320.07944521419995,-8232.082101464179,-0.007791012358517566,-0.39190609719613695,supertrend_flip,21,-53.23128867187552,840.4181253906245,LONG,48380.55341366389,1048380.5534136639
2021-02-04 00:00:00+05:30,2021-02-22 00:00:00+05:30,1,14792.007614648437,14789.049213125507,75,1.0,14384.660117380632,14792.007614648437,-221.88011421976626,339.1317502042766,-561.0118644240429,-0.0005351223490337693,-0.01836308862210302,stop,12,-156.95780996093708,639.7423853515629,LONG,47819.541549239846,1047819.5415492399
2021-06-08 00:00:00+05:30,2021-06-18 00:00:00+05:30,1,15777.055170703125,15520.239492540226,75,1.0,15523.3441613725,15523.3441613725,-19261.175862217395,354.3567087160139,-19615.53257093341,-0.018720334745743646,-1.030859618465691,stop,8,-326.15478007812453,124.54443867187547,LONG,28204.008978306436,1028204.0089783064
2021-08-18 00:00:00+05:30,2021-08-20 00:00:00+05:30,1,16695.28760859375,16472.812696739973,75,1.0,16476.107918323636,16476.107918323636,-16685.618389033243,373.05251871349344,-17058.670907746735,-0.016590745376199607,-1.037728199890778,stop,1,-319.2378039062496,6.56200078125039,LONG,11145.338070559701,1011145.3380705597
2021-08-31 00:00:00+05:30,2021-10-29 00:00:00+05:30,1,16950.8895,17829.48417109375,75,1.0,16721.743478235305,16950.8895,65894.60033203123,396.39715099542616,65498.2031810358,0.064776249976109,3.8111478830032715,supertrend_flip,41,-35.039890625001135,1653.5597187499989,LONG,76643.54125159551,1076643.5412515956
2021-12-21 00:00:00+05:30,2021-12-28 00:00:00+05:30,-1,16769.795760546876,17187.786700026965,75,1.0,17184.349830060954,17184.349830060954,-31349.320461006664,379.524619132266,-31728.84508013893,-0.029470148535191348,-1.020497201320611,stop,5,-480.4542394531236,81.54576054687641,SHORT,44914.696171456584,1044914.6961714566
2022-01-11 00:00:00+05:30,2022-01-19 00:00:00+05:30,1,18001.34955,17997.74928009,75,1.0,17651.043601416568,18001.34955,-270.02024324992817,402.4706040366222,-672.4908472865504,-0.0006435844473721554,-0.025596324203874636,stop,6,-116.449159374999,349.599668750001,LONG,44242.205324170034,1044242.2053241701
2022-06-20 00:00:00+05:30,2022-06-24 00:00:00+05:30,-1,15331.4331,15748.915769413188,75,1.0,15745.76661608997,15745.76661608997,-31311.2002059891,351.1310491655779,-31662.331255154677,-0.03032086913718026,-1.0188999932212233,stop,4,-417.8168999999998,140.3334906250002,SHORT,12579.874069015357,1012579.8740690154
2022-08-02 00:00:00+05:30,2022-08-29 00:00:00+05:30,1,17313.612420703124,17310.149698218986,75,1.0,16999.676580242805,17313.612420703124,-259.70418631040957,388.8975780440398,-648.6017643544494,-0.0006405438039648832,-0.027547104886289937,stop,17,-152.36242070312437,678.5867980468756,LONG,11931.272304660908,1011931.2723046609
2022-09-14 00:00:00+05:30,2022-09-16 00:00:00+05:30,1,17774.704620703124,17771.149679778984,75,1.0,17474.071017989645,17774.704620703124,-266.620569310453,397.99759046008523,-664.6181597705382,-0.00065678191588731,-0.02947633060184819,stop,2,-277.4546207031235,321.4457699218765,LONG,11266.65414489037,1011266.6541448904
2022-11-14 00:00:00+05:30,2022-12-12 00:00:00+05:30,1,18380.075670703125,18376.399655568985,75,1.0,18080.26039122933,18380.075670703125,-275.7011350605353,409.94505795425346,-685.6461930147888,-0.0006780073190434222,-0.030491939090770203,stop,20,-246.72606132812507,507.52393867187493,LONG,10581.007951875581,1010581.0079518756
2023-01-30 00:00:00+05:30,2023-02-01 00:00:00+05:30,-1,17538.440828906252,17843.33233494737,75,1.0,17839.764382070956,17839.764382070956,-22866.862953083728,394.34416166353395,-23261.207114747263,-0.023017657101918325,-1.0292903589488132,stop,2,-433.75838984374786,185.04043828125214,SHORT,-12680.199162871682,987319.8008371283
2023-03-14 00:00:00+05:30,2023-04-05 00:00:00+05:30,-1,17157.11867109375,17482.68419932596,75,1.0,17479.18836165363,17479.18836165363,-24417.41461741558,386.88169910418344,-24804.29631651976,-0.02512285917439183,-1.0268707692177053,stop,14,-413.4321101562491,328.7690617187509,SHORT,-37484.495479391444,962515.5045206086
2023-05-02 00:00:00+05:30,2023-05-17 00:00:00+05:30,1,18128.42574140625,18124.80005625797,75,1.0,17895.80430399062,18128.42574140625,-271.92638612095834,404.978551296586,-676.9049374175443,-0.0007032665284230245,-0.03879865615928329,stop,11,-86.02535078124856,330.47464921875144,LONG,-38161.40041680899,961838.599583191
2023-05-29 00:00:00+05:30,2023-08-04 00:00:00+05:30,1,18622.874220703125,19458.908221093752,75,1.0,18391.014946182837,18622.874220703125,62702.55002929707,428.69328540107307,62273.856743895994,0.06474460140285712,3.581129508994303,supertrend_flip,48,-158.3234394531246,1368.9753886718754,LONG,24112.456327087006,1024112.456327087
2023-09-18 00:00:00+05:30,2023-09-20 00:00:00+05:30,1,20159.98040859375,19936.75846515066,75,1.0,19940.74661447355,19940.74661447355,-16741.64575823188,441.4300210331233,-17183.075779265004,-0.016778504814687047,-1.0450381428478797,stop,1,-281.1307992187503,35.369200781249674,LONG,6929.380547822002,1006929.380547822
2023-10-27 00:00:00+05:30,2023-10-31 00:00:00+05:30,-1,18924.96425,19193.13253708301,75,1.0,19189.29467814738,19189.29467814738,-20112.621531225614,421.59832620714485,-20534.21985743276,-0.020392909626155788,-1.035785399426093,stop,2,-308.7349687499991,0.0,SHORT,-13604.839309610757,986395.1606903892
2023-11-29 00:00:00+05:30,2024-01-19 00:00:00+05:30,1,19980.54609140625,21610.876178906252,75,1.0,19769.976846315414,19980.54609140625,122274.75656250017,468.6933497585878,121806.06321274159,0.12348607137071531,7.712811251880386,supertrend_flip,36,-24.245310156249616,2143.6042992187504,LONG,108201.22390313083,1108201.2239031307
2024-09-24 00:00:00+05:30,2024-09-30 00:00:00+05:30,1,25926.63350859375,25921.448181892032,75,1.0,25597.813837777954,25926.63350859375,-388.8995026288285,558.8822336930973,-947.7817363219258,-0.0008552433582267661,-0.03843167224841897,stop,4,-132.53389921874987,350.71610078125013,LONG,107253.4421668089,1107253.442166809
2024-10-28 00:00:00+05:30,2024-11-25 00:00:00+05:30,-1,24246.249389453125,24251.098639331016,75,1.0,24642.884006418983,24246.249389453125,-363.6937408417907,525.8142688008107,-889.5080096426015,-0.0008033463485124992,-0.029901844891807857,stop,18,-291.35021992187467,983.0989988281253,SHORT,106363.93415716631,1106363.9341571664
2025-01-13 00:00:00+05:30,2025-01-30 00:00:00+05:30,-1,23190.761310546877,23195.399462808986,75,1.0,23615.002011435754,23190.761310546877,-347.8614196581475,504.97922553290516,-852.8406451910527,-0.0007708500059166798,-0.026803672016197898,stop,13,-235.5394707031228,403.8609199218772,SHORT,105511.09351197525,1105511.0935119754
2025-02-25 00:00:00+05:30,2025-03-06 00:00:00+05:30,-1,22511.94592890625,22516.448318092032,75,1.0,22895.405048841763,22511.94592890625,-337.6791889336346,491.5795973134579,-829.2587862470925,-0.0007501134915007615,-0.02883432220489983,stop,6,-113.35485234374937,547.3463195312506,SHORT,104681.83472572816,1104681.8347257283
2025-09-19 00:00:00+05:30,2025-09-22 00:00:00+05:30,1,25415.28125859375,25154.281743937987,75,1.0,25159.313606659318,25159.313606659318,-19574.96359918223,544.5370838077107,-20119.50068298994,-0.018212937019992943,-1.048023088383251,stop,1,-264.23047734374995,13.468741406250047,LONG,84562.33404273822,1084562.3340427382
2025-10-21 00:00:00+05:30,2025-11-04 00:00:00+05:30,1,25906.37945859375,25601.909361813316,75,1.0,25607.03076796691,25607.03076796691,-22835.2572585326,553.5084587741807,-23388.765717306782,-0.021565165028481548,-1.0417623972601022,stop,9,-327.9790679687503,197.81976015624969,LONG,61173.568325431435,1061173.5683254316
2026-01-22 00:00:00+05:30,2026-01-28 00:00:00+05:30,-1,25339.081560546874,25344.149376858983,75,1.0,25685.548739949234,25339.081560546874,-380.0862234081251,547.3864741381673,-927.4726975462924,-0.0008740065953676894,-0.035692565902726715,stop,3,-96.66843945312576,406.53077929687424,SHORT,60246.095627885144,1060246.095627885
